event,n,mean_ret,median_ret,std,hit_up,hit_down,direction,directional_hit,score
posts_low,461,0.023059281730780756,0.020776329780866964,0.06757320489378353,0.6585365853658537,0.34146341463414637,long,0.6585365853658537,0.32604394970073386
silence_day,262,0.03066210602970823,0.025188470976764132,0.07323483779555724,0.6468253968253969,0.3531746031746032,long,0.6468253968253969,0.32102561776747346
posts_low&silence_day,262,0.03066210602970823,0.025188470976764132,0.07323483779555724,0.6468253968253969,0.3531746031746032,long,0.6468253968253969,0.32102561776747346
has_exclamation,1016,0.013156718770964375,0.01956070115783537,0.05300709746285863,0.6742125984251969,0.3257874015748031,long,0.6742125984251969,0.28274264025235335
short_posts,574,0.016368380888855432,0.021455514759826433,0.05506819013529031,0.7003484320557491,0.29965156794425085,long,0.7003484320557491,0.27464761328672926
has_positive,931,0.01334142467764979,0.02007024586051176,0.05293602454742602,0.6723952738990333,0.3276047261009667,long,0.6723952738990333,0.27371695586385114
has_positive&has_exclamation,924,0.0132403568238963,0.01999741189696702,0.052963641812478444,0.672077922077922,0.32792207792207795,long,0.672077922077922,0.27049254739950385
has_exclamation&short_posts,527,0.016620628554575703,0.020855785663556503,0.05272973007589883,0.7039848197343453,0.29601518026565465,long,0.7039848197343453,0.2686062079893219
exclamation_heavy&short_posts,450,0.017699002090202982,0.021990525418898565,0.05334751219075406,0.7066666666666667,0.29333333333333333,long,0.7066666666666667,0.26531978924220906
has_exclamation&exclamation_heavy,900,0.01312234887262118,0.01999741189696702,0.053451774463251785,0.6711111111111111,0.3288888888888889,long,0.6711111111111111,0.2641966239687731
exclamation_heavy,900,0.01312234887262118,0.01999741189696702,0.053451774463251785,0.6711111111111111,0.3288888888888889,long,0.6711111111111111,0.2641966239687731
has_positive&short_posts,464,0.017422746589106853,0.021730190282820305,0.0522206922361203,0.7025862068965517,0.2974137931034483,long,0.7025862068965517,0.2636788098167378
has_positive&exclamation_heavy,860,0.012886771172746501,0.01999741189696702,0.053797806380992456,0.6697674418604651,0.3302325581395349,long,0.6697674418604651,0.2531147038232944
lots_of_excl,795,0.01298646345068508,0.01878476929623263,0.054604269172156425,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.24410866906177814
exclamation_heavy&lots_of_excl,795,0.01298646345068508,0.01878476929623263,0.054604269172156425,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.24410866906177814
has_exclamation&lots_of_excl,795,0.01298646345068508,0.01878476929623263,0.054604269172156425,0.6666666666666666,0.3333333333333333,long,0.6666666666666666,0.24410866906177814
has_positive&lots_of_excl,779,0.013067419115936452,0.018994483674393603,0.0549268503413444,0.6675224646983312,0.3324775353016688,long,0.6675224646983312,0.24345821606124476
volume_drop,326,0.01989067222670243,0.021491247919974144,0.06317395231886286,0.6717791411042945,0.3282208588957055,long,0.6717791411042945,0.24125969565323704
lots_of_excl&short_posts,384,0.01764439977045239,0.021990525418898565,0.05507392668034343,0.6953125,0.3046875,long,0.6953125,0.240410005420045
posts_very_high&deal_only,96,0.031485162692117714,0.037531416405313545,0.05220059337607269,0.7708333333333334,0.22916666666666666,long,0.7708333333333334,0.23779463111462262
has_china&deal_only,93,0.031144411425102773,0.029900927129139276,0.04864078502272987,0.7849462365591398,0.21505376344086022,long,0.7849462365591398,0.23575532652308615
pre_deal&pre_action,27,0.048927081247867966,0.03673779318867121,0.052587313393270725,0.9259259259259259,0.07407407407407407,long,0.9259259259259259,0.23540052940932718
has_attack,643,0.01360489618694699,0.01850800734129221,0.05297293345156521,0.6702954898911353,0.3297045101088647,long,0.6702954898911353,0.23124215920649838
has_attack&has_exclamation,642,0.013619804726214615,0.01851249604587979,0.05301288786637391,0.6697819314641744,0.3302180685358255,long,0.6697819314641744,0.2311382508850827
has_night_post&deal_only,148,0.02548441731967579,0.028795442544506944,0.052609726929613757,0.7432432432432432,0.25675675675675674,long,0.7432432432432432,0.2304286819681994
has_attack&has_positive,619,0.013527366654058522,0.01871998498532923,0.05346285005891658,0.6704361873990307,0.3295638126009693,long,0.6704361873990307,0.22563997023933385
positive_heavy&short_posts,282,0.01882081643763754,0.024033466741161802,0.058923340701683084,0.7092198581560284,0.2907801418439716,long,0.7092198581560284,0.2241526618143867
has_attack&exclamation_heavy,632,0.013253571524893,0.01843288053833525,0.05302339077378624,0.6693037974683544,0.33069620253164556,long,0.6693037974683544,0.22300507903262184
